id,label,size,tiers
220,Asgardian Family Values,1412.677669,1
221,Occupied France,373.387354,1
222,Sagittarius A,422.339557,1
223,Stalinverse,380.173622,1
224,Exogenesis,438.1568,1
225,Lux,2241.270499,1
226,The Dreaming,1380.103288,1
227,The City,620.204431,1
228,The Whitehouse,1549.215216,1
229,The Snowflake,799.302767,1
