source,target,type,weight
47,433,Undirected,183.764233
47,43,Undirected,77.414181
47,363,Undirected,31.513152
47,346,Undirected,235.287222
47,274,Undirected,52.477776
73,372,Undirected,158.455467
28,350,Undirected,106.311018
28,465,Undirected,6.705727
133,350,Undirected,25.512077
133,467,Undirected,25.630209
133,468,Undirected,16.488736
106,467,Undirected,23.273352
106,247,Undirected,5.646095
134,468,Undirected,74.45654
134,229,Undirected,5.342009
134,134,Undirected,18.312122
134,43,Undirected,6.082537
138,476,Undirected,124.312386
139,465,Undirected,239.928746
0,465,Undirected,12.17239
91,479,Undirected,682.420699
91,444,Undirected,169.037646
91,389,Undirected,117.43181
91,480,Undirected,278.274528
91,274,Undirected,184.541532
91,215,Undirected,43.055804
91,467,Undirected,55.710287
141,483,Undirected,82.433861
140,415,Undirected,230.975977
139,488,Undirected,121.583534
96,370,Undirected,27.345434
139,370,Undirected,30.918842
139,389,Undirected,48.4775
144,488,Undirected,43.593914
144,389,Undirected,41.893128
96,350,Undirected,68.314748
67,189,Undirected,109.835919
142,489,Undirected,84.630258
146,491,Undirected,89.329887
90,492,Undirected,82.902933
6,493,Undirected,160.970441
66,204,Undirected,136.027244
96,278,Undirected,45.69857
148,495,Undirected,48.262649
149,497,Undirected,113.914835
93,497,Undirected,513.171688
93,301,Undirected,281.402184
150,498,Undirected,445.816313
151,43,Undirected,548.578643
44,499,Undirected,375.558881
138,261,Undirected,140.721628
130,492,Undirected,330.95443
152,152,Undirected,318.046495
81,356,Undirected,505.465456
10,304,Undirected,9.228138
10,292,Undirected,17.166363
10,186,Undirected,14.492094
10,501,Undirected,9.747149
153,502,Undirected,62.128722
45,325,Undirected,235.834865
154,503,Undirected,111.52774
33,222,Undirected,37.71739
81,459,Undirected,19.648947
89,43,Undirected,238.039794
66,495,Undirected,47.18946
125,435,Undirected,98.838885
0,511,Undirected,147.757431
138,512,Undirected,276.309507
98,197,Undirected,40.281095
91,513,Undirected,162.805483
91,514,Undirected,259.943369
91,316,Undirected,109.737571
91,492,Undirected,156.394974
90,43,Undirected,93.755403
90,372,Undirected,15.826946
112,349,Undirected,257.745732
112,360,Undirected,225.00109
112,370,Undirected,33.267553
20,304,Undirected,400.50056
83,415,Undirected,29.238339
83,217,Undirected,40.265182
74,423,Undirected,171.762385
138,441,Undirected,58.994513
138,386,Undirected,12.053627
138,382,Undirected,23.973701
138,307,Undirected,26.986933
138,355,Undirected,126.980022
138,413,Undirected,54.182538
164,304,Undirected,80.965155
89,380,Undirected,240.472294
83,380,Undirected,77.516878
10,377,Undirected,148.764368
20,34,Undirected,467.979435
83,274,Undirected,72.045778
94,217,Undirected,115.566478
94,274,Undirected,106.075797
94,204,Undirected,113.598548
94,480,Undirected,118.59794
74,492,Undirected,264.536397
20,518,Undirected,136.152469
94,444,Undirected,44.409904
20,264,Undirected,97.480633
166,209,Undirected,60.254018
166,383,Undirected,159.423181
138,415,Undirected,77.644835
101,371,Undirected,103.394428
89,365,Undirected,791.58028
89,519,Undirected,83.37243
89,400,Undirected,96.042739
89,373,Undirected,83.483756
30,417,Undirected,562.925996
89,346,Undirected,269.270606
89,363,Undirected,39.5227
89,520,Undirected,127.521532
130,428,Undirected,44.534614
167,501,Undirected,410.879872
47,261,Undirected,80.729137
13,416,Undirected,11.127438
13,465,Undirected,216.42613
13,497,Undirected,41.100425
13,521,Undirected,213.240783
13,502,Undirected,53.772905
13,406,Undirected,58.06567
75,522,Undirected,109.545164
75,523,Undirected,93.719203
125,328,Undirected,26.168396
53,304,Undirected,3.318908
110,497,Undirected,72.862778
73,417,Undirected,439.138651
73,527,Undirected,225.943498
73,512,Undirected,37.084055
73,528,Undirected,110.048289
169,345,Undirected,92.728183
171,529,Undirected,152.209911
47,479,Undirected,58.246039
129,531,Undirected,266.200903
47,492,Undirected,62.935791
67,456,Undirected,16.938666
67,360,Undirected,36.968185
172,497,Undirected,181.723526
124,364,Undirected,76.869593
92,533,Undirected,108.445638
148,534,Undirected,282.345185
92,390,Undirected,94.925643
126,416,Undirected,143.210832
120,528,Undirected,159.962285
60,382,Undirected,233.514327
140,536,Undirected,101.781041
1,304,Undirected,19.693824
1,263,Undirected,60.230471
1,537,Undirected,99.646177
1,207,Undirected,22.150771
1,351,Undirected,76.41735
1,407,Undirected,56.167816
27,361,Undirected,25.242993
173,539,Undirected,84.318719
173,468,Undirected,283.908008
173,497,Undirected,155.925125
173,205,Undirected,144.080507
124,416,Undirected,138.379398
124,497,Undirected,377.443771
124,242,Undirected,28.224367
174,152,Undirected,23.265917
124,152,Undirected,104.368074
124,543,Undirected,113.084056
42,479,Undirected,44.111269
90,479,Undirected,351.180215
90,329,Undirected,257.129326
90,190,Undirected,42.524633
90,316,Undirected,142.345131
91,329,Undirected,103.7573
91,264,Undirected,259.529059
91,355,Undirected,32.284186
91,357,Undirected,33.365967
91,352,Undirected,97.702151
91,246,Undirected,31.671444
89,189,Undirected,147.20994
89,428,Undirected,156.837793
89,318,Undirected,36.277039
89,369,Undirected,42.74562
110,197,Undirected,197.404982
110,375,Undirected,38.223058
33,371,Undirected,222.493345
33,547,Undirected,81.875044
110,381,Undirected,74.619448
33,246,Undirected,15.576414
110,518,Undirected,418.014219
110,358,Undirected,55.251904
110,190,Undirected,41.349631
110,513,Undirected,194.741171
110,204,Undirected,90.507373
110,439,Undirected,91.449517
124,217,Undirected,81.991346
124,433,Undirected,201.13623
100,439,Undirected,109.295789
100,445,Undirected,40.580109
100,390,Undirected,10.572617
112,351,Undirected,252.380946
112,551,Undirected,512.52767
112,511,Undirected,114.531804
112,328,Undirected,27.233472
112,429,Undirected,93.795799
112,383,Undirected,29.282552
112,197,Undirected,67.540704
112,373,Undirected,110.414301
81,360,Undirected,78.942797
81,217,Undirected,93.357487
81,416,Undirected,78.526433
81,402,Undirected,28.805264
81,390,Undirected,131.877356
81,261,Undirected,53.397892
169,361,Undirected,393.189509
106,361,Undirected,35.941888
73,361,Undirected,39.912458
81,315,Undirected,21.740858
174,497,Undirected,102.150539
172,511,Undirected,53.43925
172,440,Undirected,18.835935
172,439,Undirected,20.842544
73,511,Undirected,57.493823
129,214,Undirected,17.692021
129,491,Undirected,13.953693
129,300,Undirected,19.374728
103,309,Undirected,69.214941
111,352,Undirected,71.294707
111,204,Undirected,180.730272
111,511,Undirected,34.247036
111,380,Undirected,29.133999
120,379,Undirected,59.850184
120,244,Undirected,59.129308
177,559,Undirected,373.387354
35,441,Undirected,380.173622
178,178,Undirected,438.1568
111,561,Undirected,94.411518
111,563,Undirected,1781.751784
111,564,Undirected,120.114309
111,567,Undirected,29.127886
44,577,Undirected,103.216707
44,351,Undirected,41.600478
44,578,Undirected,113.139812
44,579,Undirected,188.003127
44,580,Undirected,81.729265
44,87,Undirected,119.749686
44,584,Undirected,112.04496
44,587,Undirected,206.411802
44,567,Undirected,62.077993
44,518,Undirected,5.933101
138,589,Undirected,620.204431
88,475,Undirected,1549.215216
138,501,Undirected,747.125216
138,226,Undirected,22.35356
138,245,Undirected,29.823991
