source,target,type,weight
189,7,Undirected,2200.008368
190,82,Undirected,507.877752
191,83,Undirected,840.468796
192,84,Undirected,663.539592
192,85,Undirected,183.430849
193,83,Undirected,999.830941
194,20,Undirected,174.40265
195,83,Undirected,96.41302
196,83,Undirected,46.997945
197,83,Undirected,115.034751
198,86,Undirected,581.850489
199,87,Undirected,327.330738
200,88,Undirected,417.729601
201,6,Undirected,464.649599
202,89,Undirected,2264.880267
203,88,Undirected,995.712348
204,90,Undirected,367.545439
205,91,Undirected,965.181505
206,0,Undirected,1160.360416
206,18,Undirected,317.898183
206,27,Undirected,126.923019
206,89,Undirected,5217.982436
206,83,Undirected,3147.993841
206,92,Undirected,51.09143
206,93,Undirected,165.98787
206,94,Undirected,460.192323
206,95,Undirected,420.448323
206,96,Undirected,38.842652
206,86,Undirected,473.005439
206,97,Undirected,293.02161
206,98,Undirected,559.848379
207,99,Undirected,533.163748
207,100,Undirected,172.988873
207,101,Undirected,487.83908
207,86,Undirected,747.667051
208,102,Undirected,42.47203
208,95,Undirected,272.864826
209,43,Undirected,39.083228
209,0,Undirected,1704.733212
209,89,Undirected,2713.585817
209,103,Undirected,54.593871
209,60,Undirected,296.450171
209,87,Undirected,45.602286
209,104,Undirected,105.816573
209,10,Undirected,154.524707
210,89,Undirected,2559.732989
211,47,Undirected,110.8397
210,20,Undirected,90.506793
210,105,Undirected,126.528971
210,103,Undirected,170.372282
210,106,Undirected,57.620164
210,96,Undirected,49.017773
210,107,Undirected,119.438994
210,108,Undirected,51.293664
210,109,Undirected,37.306335
210,47,Undirected,219.277513
210,110,Undirected,29.17727
212,96,Undirected,43.698328
210,111,Undirected,465.983885
210,83,Undirected,999.283359
210,52,Undirected,124.231153
210,84,Undirected,18.610901
210,90,Undirected,649.302862
211,90,Undirected,1934.780051
210,112,Undirected,601.686053
210,42,Undirected,577.430642
210,0,Undirected,120.158875
210,10,Undirected,70.018891
210,91,Undirected,89.292044
213,113,Undirected,213.590772
210,81,Undirected,543.49629
210,114,Undirected,56.267939
214,39,Undirected,127.248857
210,115,Undirected,188.642946
210,60,Undirected,464.918097
215,89,Undirected,3154.843023
210,86,Undirected,821.064544
210,104,Undirected,201.571526
208,96,Undirected,197.230064
210,116,Undirected,39.453242
210,117,Undirected,57.837732
216,60,Undirected,163.789753
210,118,Undirected,38.509087
212,119,Undirected,50.370537
210,120,Undirected,21.179804
210,121,Undirected,21.838691
210,122,Undirected,31.652529
210,123,Undirected,33.112447
210,124,Undirected,308.581829
212,125,Undirected,92.289408
212,111,Undirected,354.062368
212,91,Undirected,1015.635985
212,126,Undirected,214.511924
210,62,Undirected,410.348591
210,93,Undirected,57.379919
214,127,Undirected,61.898012
214,36,Undirected,51.403594
214,83,Undirected,1201.133089
208,89,Undirected,356.195556
209,90,Undirected,684.638255
217,0,Undirected,979.711483
217,128,Undirected,130.314891
217,47,Undirected,765.587308
217,129,Undirected,61.566488
217,130,Undirected,43.121944
217,98,Undirected,1351.397301
217,109,Undirected,408.922339
211,131,Undirected,54.00427
211,73,Undirected,158.455467
211,89,Undirected,1269.528326
211,28,Undirected,113.016745
211,132,Undirected,71.716929
211,133,Undirected,73.474608
211,23,Undirected,5.831788
211,106,Undirected,96.2168
211,134,Undirected,109.685331
211,135,Undirected,33.071754
211,136,Undirected,65.365263
211,137,Undirected,19.708008
211,138,Undirected,124.312386
211,139,Undirected,440.908622
211,96,Undirected,178.12775
211,0,Undirected,100.355928
211,67,Undirected,121.738248
211,118,Undirected,11.247267
211,91,Undirected,1225.933789
211,140,Undirected,301.032808
211,49,Undirected,31.961934
211,141,Undirected,82.433861
211,142,Undirected,143.148233
211,143,Undirected,45.327114
211,144,Undirected,85.487042
211,145,Undirected,16.183057
211,146,Undirected,89.329887
211,6,Undirected,160.970441
211,66,Undirected,136.027244
211,33,Undirected,47.885475
211,147,Undirected,51.785934
211,148,Undirected,48.262649
211,149,Undirected,113.914835
211,93,Undirected,794.573872
211,150,Undirected,445.816313
218,151,Undirected,548.578643
218,44,Undirected,375.558881
206,138,Undirected,140.721628
206,130,Undirected,330.95443
206,152,Undirected,318.046495
206,81,Undirected,233.951831
206,10,Undirected,60.968872
211,153,Undirected,62.128722
206,45,Undirected,235.834865
206,154,Undirected,111.52774
213,155,Undirected,26.047677
213,156,Undirected,57.852467
213,157,Undirected,23.796048
213,158,Undirected,26.261766
213,159,Undirected,23.287697
213,153,Undirected,32.270067
213,160,Undirected,30.27251
213,33,Undirected,37.71739
213,81,Undirected,19.648947
206,155,Undirected,46.159476
206,75,Undirected,44.088942
206,66,Undirected,47.18946
206,161,Undirected,39.243482
206,43,Undirected,40.856832
209,125,Undirected,98.838885
219,138,Undirected,276.309507
209,98,Undirected,40.281095
220,91,Undirected,754.376582
220,162,Undirected,32.704363
220,90,Undirected,109.582349
220,112,Undirected,516.014375
215,20,Undirected,1102.113097
215,83,Undirected,431.539633
215,163,Undirected,37.215774
215,74,Undirected,436.298782
215,138,Undirected,380.816169
215,164,Undirected,80.965155
215,10,Undirected,148.764368
215,94,Undirected,498.248667
215,165,Undirected,17.40643
215,166,Undirected,219.677199
215,101,Undirected,103.394428
209,30,Undirected,562.925996
212,89,Undirected,2582.14424
212,130,Undirected,44.534614
212,167,Undirected,410.879872
212,47,Undirected,201.910967
212,13,Undirected,593.733351
212,75,Undirected,203.264367
212,168,Undirected,39.763609
209,130,Undirected,40.411261
212,53,Undirected,3.318908
212,144,Undirected,26.837475
212,110,Undirected,1309.458591
212,73,Undirected,909.620774
212,169,Undirected,485.917692
212,170,Undirected,37.92273
212,171,Undirected,152.209911
212,88,Undirected,65.910928
212,129,Undirected,362.17336
212,67,Undirected,118.786512
212,172,Undirected,274.841255
212,124,Undirected,1366.494036
212,92,Undirected,203.371281
212,148,Undirected,282.345185
212,120,Undirected,278.941777
212,60,Undirected,233.514327
212,74,Undirected,53.239372
212,140,Undirected,101.781041
212,1,Undirected,613.007328
212,27,Undirected,25.242993
212,173,Undirected,734.900043
212,174,Undirected,180.332172
212,42,Undirected,44.111269
212,90,Undirected,793.179305
212,143,Undirected,44.004707
212,175,Undirected,50.164519
212,33,Undirected,350.266401
212,133,Undirected,81.994629
212,100,Undirected,213.838797
212,112,Undirected,1272.352884
212,81,Undirected,822.098914
212,106,Undirected,35.941888
212,176,Undirected,16.372889
212,103,Undirected,69.214941
221,177,Undirected,373.387354
222,1,Undirected,422.339557
223,35,Undirected,380.173622
224,178,Undirected,438.1568
225,111,Undirected,2241.270499
226,44,Undirected,1380.103288
227,138,Undirected,620.204431
228,88,Undirected,1549.215216
229,138,Undirected,799.302767
